name,city,province,postalCode,latitude,longitude,full_name
McDonald's,Martin,TN,38237,36.3485,-88.87344,McDonald's
Hardee's,La Crosse,WI,54601,43.79609,-91.21769,Hardee's
McDonald's,Memphis,TN,38134,35.1694,-89.86479,McDonald's
McDonald's,La Crosse,WI,54603,43.85742,-91.23993,McDonald's
Taco John's,Marshfield,WI,54449,44.674233,-90.168369,Taco John's
McDonald's,Marshfield,WI,54449,44.67742,-90.16521,McDonald's
Mr Hero,Cleveland,OH,44128,41.433314,-81.523935,Mr Hero
McDonald's,Yakima,WA,98902,46.6039,-120.53093,McDonald's
McDonald's,West Jordan,UT,84081,40.60985,-112.0266,McDonald's
Taco Bell,Indianola,MS,38751,33.45785,-90.63563,Taco Bell
Domino's Pizza,Fort Riley,KS,66442,39.0644,-96.79881,Domino's Pizza
Taco Bell,Saint George,UT,84770,37.122977,-113.613499,Taco Bell
Taco Bell,Saint George,UT,84770,37.109869,-113.57028600000001,Taco Bell
Pizza Hut,Lawrence,KS,66049,38.971514,-95.301449,Pizza Hut
Amigos/Kings Classic,Lincoln,NE,68516,40.75546,-96.64543,Amigos/Kings Classic
Raising Cane's,Overland Park,KS,66223,38.88353,-94.67200000000001,Raising Cane's Chicken Fingers
McDonald's,Sandusky,OH,44870,41.418409999999994,-82.67352,McDonalds
Whataburger,La Marque,TX,77568,29.3676,-94.97416,Whataburger
McDonald's,Rockport,TX,78382,28.036688,-97.04238000000001,McDonald's
Domino's Pizza,Cincinnati,OH,45251,39.25009,-84.59411,Domino's Pizza
Domino's Pizza,Cincinnati,OH,45243,39.18985,-84.36206999999999,Domino's Pizza
Whataburger,New Braunfels,TX,78130,29.7279,-98.07611999999999,Whataburger
Burger King,Windham,ME,4062,43.83887,-70.44216999999999,Burger King
Taco Time,Spokane,WA,99216,47.673976,-117.20639399999999,Taco Time
Sonic,Jefferson City,MO,65109,38.59259,-92.2254,SONIC Drive In
McDonald's,Jefferson City,MO,65109,38.58068,-92.2352,McDonald's
Coop DeVille,Oxford,MS,38655,34.367290000000004,-89.54978,Coop DeVille
McDonald's,Sidney,NE,69162,41.138000000000005,-102.98557,McDonalds
Amigos/Kings Classic,Auburn,NE,68305,40.39457,-95.83913000000001,Amigos/Kings Classic
B. Good,Garden City,NY,11530,40.725253,-73.634393,B. Good
Domino's Pizza,Shepherdsville,KY,40165,37.9978,-85.70737,Domino's Pizza
McDonald's,Glasgow,KY,42141,37.0082,-85.92208000000001,McDonald's
Sonic,Alexandria,LA,71303,31.27267,-92.48395,Sonic Drive-In
McDonald's,Somerset,KY,42501,37.092240000000004,-84.61883,McDonald's
Domino's Pizza,Albuquerque,NM,87105,35.085335,-106.60555,Domino's Pizza
McDonald's,Owensboro,KY,42301,37.723743,-87.12389399999999,McDonald's
Burger King,Kenner,LA,70065,30.023059999999997,-90.26933000000001,Burger King
Sonic,Houma,LA,70360,29.633459999999996,-90.75858000000001,Sonic Drive-In
Domino's Pizza,Albuquerque,NM,87122,35.17351,-106.49703000000001,Domino's Pizza
Rally's,Madison,IN,47250,38.77544,-85.39367,Rally's
Taco Bell,Houma,LA,70360,29.58875,-90.74346,Taco Bell
Taco Bell,Farmerville,LA,71241,32.7715,-92.39699,Taco Bell
Pizza Hut,Westwego,LA,70094,29.89708,-90.14081,Pizza Hut
Sonic,Baton Rouge,LA,70802,30.44345,-91.17915,Sonic Drive-In
Backyard Burgers,Cleveland,MS,38732,33.75489,-90.71678,Back Yard Burgers
McDonald's,Cleveland,MS,38732,33.74364,-90.71593,McDonald's
Wendy's,Camp Lejeune,NC,28547,34.72418,-77.34444,Wendy's
Domino's Pizza,Duluth,MN,55805,46.78937,-92.09841,Domino's Pizza
Burger King,Fort Stewart,GA,31314,31.8613,-81.61078,Burger King
Sonic,Northport,AL,35476,33.236442,-87.57686899999999,Sonic Drive-In
Domino's Pizza,Coralville,IA,52241,41.68432,-91.60353,Domino's Pizza
Taco Bell,Hartselle,AL,35640,34.439438,-86.940455,Taco Bell
Domino's Pizza,Elizabeth City,NC,27909,36.29457,-76.23925,Domino's Pizza
McDonald's,Swansboro,NC,28584,34.69765,-77.14086,McDonalds
Arby's,Sutton,WV,26601,38.70084,-80.664158,Arby's
Pacific Rim,Burlington,VT,5401,44.47568,-73.21264000000001,Pacific Rim
Taco Bell,Bay City,TX,77414,28.9826,-95.94636,Taco Bell
Panda Express,Columbia,SC,29203,34.13885,-80.95378000000001,Panda Express
Domino's Pizza,Ames,IA,50014,42.02193,-93.65164,Domino's Pizza
Taco Bell,Laurinburg,NC,28352,34.760626,-79.487148,Taco Bell
Chick-fil-A,Valdosta,GA,31601,30.843770000000003,-83.32041,Chick-fil-A
Hardee's,Batesburg,SC,29006,33.903931,-81.545787,Hardee's
Domino's Pizza,North Charleston,SC,29418,32.87129,-80.02056,Domino's Pizza
McDonald's,Ottumwa,IA,52501,41.04905,-92.41165,McDonald's
McDonald's,Mexia,TX,76667,31.68468,-96.47389,McDonald's
Captain D's,Baton Rouge,LA,70806,30.445290000000004,-91.13715,Captain D's
Whataburger,Corpus Christi,TX,78410,27.856990000000003,-97.63067,Whataburger
Jack in the Box,Angleton,TX,77515,29.165886999999998,-95.422475,Jack in the Box
Sonic,Natchitoches,LA,71457,31.75324,-93.10647,Sonic Drive-In
McDonald's,Tillamook,OR,97141,45.486681,-123.845556,McDonald's
Domino's Pizza,Franklin,TN,37064,35.90875,-86.88409,Domino's Pizza
Sonic,Mexico,MO,65265,39.16989,-91.87478,SONIC Drive In
Sonic,Park Hills,MO,63601,37.84401,-90.50350999999999,SONIC Drive In
Samurai Sam's,Phoenix,AZ,85029,33.581838,-112.124385,Samurai Sam's
Arby's,Andalusia,AL,36420,31.307890000000004,-86.4999,Arby's
Amigos/Kings Classic,Lincoln,NE,68508,40.814503,-96.700905,Amigos/Kings Classic
Sonic,Clay Center,KS,67432,39.379059999999996,-97.14248,SONIC Drive In
McDonald's,Tyler,TX,75703,32.28572,-95.30372,McDonald's
McDonald's,Victoria,TX,77901,28.82378,-97.000727,McDonald's
Subway,Keyser,WV,26726,39.44023,-78.97744,Subway
McDonald's,Katy,TX,77449,29.79332,-95.71956,McDonald's
Whataburger,Woodway,TX,76712,31.512109999999996,-97.18724,Whataburger
McDonald's,Roma,TX,78584,26.402690000000003,-99.01235,McDonald's
McDonald's,Buffalo,TX,75831,31.45096,-96.07826,McDonalds
McDonald's,Childress,TX,79201,34.43504,-100.22784,McDonald's
Taco Bell,Kingsville,TX,78363,27.50749,-97.85649000000001,Taco Bell
McDonald's,Killeen,TX,76542,31.078090000000003,-97.75698,McDonald's
Taco Bell,Gilmer,TX,75644,32.73227,-94.94278,Taco Bell
McDonald's,Katy,TX,77494,29.71927,-95.78177,McDonald's
McDonald's,Jasper,TX,75951,30.911920000000002,-93.99569,McDonald's
McDonald's,Bowie,TX,76230,33.557809000000006,-97.84626800000001,McDonald's
Taco Bell,New Boston,TX,75570,33.4717,-94.4091,Taco Bell
McDonald's,San Benito,TX,78586,26.12559,-97.63723,McDonald's
Domino's Pizza,Hickory,NC,28602,35.691720000000004,-81.35675,Domino's Pizza
Sonic,Lonoke,AR,72086,34.798159999999996,-91.89095999999999,SONIC Drive In
Domino's Pizza,Gretna,LA,70056,29.902279999999998,-90.03,Domino's Pizza
Domino's Pizza,Papillion,NE,68133,41.141563,-96.01308,Domino's Pizza
Domino's Pizza,Omaha,NE,68154,41.2606,-96.09081,Domino's Pizza
Domino's Pizza,Newport,KY,41071,39.09245,-84.4806,Domino's Pizza
Domino's Pizza,Greensboro,NC,27455,36.20043,-79.84375,Domino's Pizza
Taco Bell,Harlingen,TX,78550,26.17221,-97.67362,Taco Bell
McDonald's,Las Vegas,NM,87701,35.60569,-105.22363,McDonald's
Sonic,Holdrege,NE,68949,40.42485,-99.3797,Sonic Drive-In
Taco Bell,Minot,ND,58701,48.21665,-101.29666,Taco Bell
Taco John's,Wahpeton,ND,58075,46.26365,-96.61158,Taco John's
Taco John's,Madison,SD,57042,44.006215999999995,-97.11824200000001,Taco John's
McDonald's,Carlsbad,NM,88220,32.41713,-104.2292,McDonalds
McDonald's,Bastrop,LA,71220,32.778729999999996,-91.8896,McDonald's
Sonic,Truth Or Consequences,NM,87901,33.152440000000006,-107.24683999999999,Sonic Drive-In
McDonald's,Madison,SD,57042,44.007172,-97.115957,McDonald's
Taco Bell,Owatonna,MN,55060,44.084414,-93.241752,Taco Bell
Taco Bell,Laramie,WY,82070,41.30959,-105.56668,Taco Bell
Taco John's,Belle Fourche,SD,57717,44.66263,-103.85504,Taco John's
Whataburger,Shreveport,LA,71105,32.4316,-93.71381,Whataburger
Northeastern State University,Tahlequah,OK,74464,35.9196,-94.96673,Northeastern State University
McDonald's,Alexandria,LA,71303,31.29621,-92.478,McDonald's
Taco Bell,Ellsworth,ME,4605,44.5325,-68.408,Taco Bell
McDonald's,Ellsworth,ME,4605,44.53099,-68.40688,McDonald's
Pizza Hut,Albuquerque,NM,87109,35.14515,-106.58797,Pizza Hut
McDonald's,Natchitoches,LA,71457,31.75412,-93.08107,McDonald's
Domino's Pizza,Gardiner,ME,4345,44.22938,-69.77157,Domino's Pizza
Sonic,Springdale,AR,72764,36.17034,-94.13983,SONIC Drive In
McDonald's,Stigler,OK,74462,35.25441,-95.10961999999999,McDonald's
Taco Bell,Atoka,OK,74525,34.3717,-96.13563,Taco Bell
Subway,Checotah,OK,74426,35.47132,-95.52156,Subway
Domino's Pizza,Springfield,OR,97478,44.04537,-122.96621,Domino's Pizza
Domino's Pizza,Brattleboro,VT,5301,42.839240000000004,-72.56684,Domino's Pizza
Sonic,Wagoner,OK,74467,35.96083,-95.39475999999999,SONIC Drive In
Subway,Alexandria,LA,71303,31.267879999999998,-92.48741,Subway
McDonald's,Endicott,NY,13760,42.095909999999996,-76.05453,McDonald's
Jimmy John's,West Lafayette,IN,47906,40.45384,-86.91841,Jimmy John's
Taco Bell,Saint Albans,VT,5478,44.8396,-73.08202,Taco Bell
Subway,Burlington,VT,5401,44.449259999999995,-73.20896,SUBWAY
Pizza Hut,Alexandria,IN,46001,40.24008,-85.66922,Pizza Hut
Domino's Pizza,Montpelier,VT,5602,44.256640000000004,-72.57701,Domino's Pizza
Wendy's,North Wilkesboro,NC,28659,36.165620000000004,-81.13658000000001,Wendy's
Domino's Pizza,Houlton,ME,4730,46.13483,-67.83927,Domino's Pizza
Taco John's,Williston,ND,58801,48.1566,-103.6262,Taco John's
Sarku Japan,Columbia,SC,29223,34.064617,-80.95748,Sarku Japan
Taco Bell,Mason City,IA,50401,43.14776,-93.21414,Taco Bell
Taco Bell,Spencer,IA,51301,43.12617,-95.15025,Taco Bell
Taco Bell,Washington,IA,52353,41.29768,-91.69085,Taco Bell
Taco Bell,Owens Cross Roads,AL,35763,34.657839,-86.483357,Taco Bell
Pizza Hut,West Columbia,SC,29170,33.93912,-81.150724,Pizza Hut
Taco Bell,Jacksonville,IL,62650,39.723201,-90.240464,Taco Bell
Burger King,Seneca Falls,NY,13148,42.9037,-76.8312,Burger King
Chick-fil-A,Camden,SC,29020,34.24907,-80.64598000000001,Chick-fil-A
Subway,Rawlins,WY,82301,41.77618,-107.22593,Subway
Domino's Pizza,Malone,NY,12953,44.84987,-74.28485,Domino's Pizza
Taco Bell,Clinton,IL,61727,40.14714,-88.97721999999999,Taco Bell
Taco Bell,Cobleskill,NY,12043,42.67962,-74.47452,Taco Bell
McDonald's,Ogdensburg,NY,13669,44.690205,-75.4774,McDonald's
Taco Bell,Monmouth,IL,61462,40.9107,-90.64483,Taco Bell
Burger King,Eastlake,OH,44095,41.642781,-81.46848100000001,Burger King
Captain D's,Jefferson City,MO,65109,38.58174,-92.20713,Captain D's
McDonald's,Fairfield,IL,62837,38.37957,-88.37697,McDonald's
Jack in the Box,Jefferson City,MO,65109,38.581340000000004,-92.21398,Jack in the Box
McDonald's,Murphysboro,IL,62966,37.78839,-89.32524000000001,McDonald's
Burger King,Atmore,AL,36502,31.02181,-87.49386,Burger King
Taco Bell,Greenville,IL,62246,38.878659999999996,-89.39076999999999,Taco Bell
McDonald's,Bronx,NY,10451,40.828053000000004,-73.92529,McDonald's
Five Guys,New York,NY,10036,40.757015,-73.98944,Five Guys
Pei Wei,Fairfax,VA,22033,38.858362,-77.37696899999999,Pei Wei
Wendy's,Woodbridge,VA,22192,38.637623,-77.297706,Wendy's
Arby's,Louisville,KY,40213,38.1575,-85.7112,Arby's
McDonald's,Louisville,KY,40219,38.13627,-85.71168,McDonald's
Taco Bell,Louisville,KY,40213,38.156731,-85.712124,Taco Bell
Arby's,Nixa,MO,65714,37.053585999999996,-93.302767,Arby's
Taco Bell,Greenville,SC,29611,34.852468,-82.451033,Taco Bell
McDonald's,Greenville,SC,29611,34.853023,-82.452875,McDonald's
Sonic,Clarksville,TN,37043,36.5098,-87.2763,SONIC Drive In
Taco Bell,Clarksville,TN,37040,36.5401,-87.3663,Taco Bell
Wendy's,Knoxville,TN,37934,35.90428,-84.14246,Wendy's
Burger King,Corpus Christi,TX,78410,27.856211,-97.629141,Burger King
Jack in the Box,Dayton,TX,77535,30.046578999999998,-94.886769,Jack in the Box
Jimmy John's,Springfield,MO,65807,37.15422,-93.29613,Jimmy John's
McDonald's,Nashville,TN,37217,36.1217,-86.7054,McDonald's
Taco Bell,Mineral Wells,TX,76067,32.8095,-98.0953,Taco Bell
Wendy's,Victoria,TX,77901,28.8117,-96.9739,Wendy's
